level_0,index,Unnamed: 0,date,link_id,sub_link_id,forward_link_direction,roughness_state_estimate,roughness_state_variance,length_in_meter,sub_link_length,sub_link_geometry_wkt
1851439,4514739,4514739,2023-11-22,500752387,10,True,2.1324005,0.054902337,444.05218,24.66956555555556,"LINESTRING (-5.0473 56.84519, -5.04715 56.8454)"
1851444,4514745,4514745,2023-11-22,500752387,12,True,2.588729,0.064866014,444.05218,24.66956555555556,"LINESTRING (-5.04702 56.84561, -5.04695 56.84576, -5.04692 56.84582)"
1857130,4528446,4528446,2023-11-29,500752387,0,True,2.811236,0.05356678,444.05218,24.66956555555556,"LINESTRING (-5.04925 56.84325, -5.04904 56.84344)"
1857133,4528449,4528449,2023-11-29,500752387,15,False,2.2408578,0.05585032,444.05218,24.66956555555556,"LINESTRING (-5.04681 56.84626, -5.04677 56.84648)"
1858613,4531874,4531874,2023-11-29,500752387,14,True,3.6391115,0.08615018,444.05218,24.66956555555556,"LINESTRING (-5.04686 56.84604, -5.04683 56.84618, -5.04681 56.84626)"
1862257,4540111,4540111,2023-12-08,500752387,14,False,2.2538936,0.06462704,444.05218,24.66956555555556,"LINESTRING (-5.04686 56.84604, -5.04683 56.84618, -5.04681 56.84626)"
1862260,4540114,4540114,2023-12-08,500752387,11,True,2.4730928,0.04482031,444.05218,24.66956555555556,"LINESTRING (-5.04715 56.8454, -5.04714 56.84541, -5.04702 56.8456, -5.04702 56.84561)"
1862261,4540115,4540115,2023-12-08,500752387,16,True,2.3632843,0.059963055,444.05218,24.66956555555556,"LINESTRING (-5.04677 56.84648, -5.04676 56.84653, -5.04673 56.8467)"
1878292,4577391,4577391,2023-12-15,500752387,17,False,2.209803,0.057903446,444.05218,24.66956555555556,"LINESTRING (-5.04673 56.8467, -5.04669 56.84692)"
1888358,4601913,4601913,2023-07-15,500752387,10,True,2.1947346,0.067695215,444.05218,24.66956555555556,"LINESTRING (-5.0473 56.84519, -5.04715 56.8454)"
1889306,4604752,4604752,2023-07-15,500752387,4,True,2.1146274,0.06217143,444.05218,24.66956555555556,"LINESTRING (-5.04844 56.84402, -5.04824 56.84421)"
1890749,4608001,4608001,2023-07-22,500752387,5,True,1.7947391,0.059146818,444.05218,24.66956555555556,"LINESTRING (-5.04824 56.84421, -5.04805 56.8444)"
1894512,4617092,4617092,2023-07-22,500752387,4,False,1.493232,0.056044273,444.05218,24.66956555555556,"LINESTRING (-5.04844 56.84402, -5.04824 56.84421)"
1894515,4617095,4617095,2023-07-22,500752387,1,True,3.3274262,0.077545814,444.05218,24.66956555555556,"LINESTRING (-5.04904 56.84344, -5.04884 56.84363)"
1899309,4629354,4629354,2023-08-08,500752387,5,False,1.3863966,0.054902352,444.05218,24.66956555555556,"LINESTRING (-5.04824 56.84421, -5.04805 56.8444)"
1904246,4641802,4641802,2023-08-15,500752387,7,True,1.782282,0.04799125,444.05218,24.66956555555556,"LINESTRING (-5.04786 56.8446, -5.04773 56.84474, -5.04767 56.8448)"
1904249,4641806,4641806,2023-08-15,500752387,16,False,1.9600606,0.0569133,444.05218,24.66956555555556,"LINESTRING (-5.04677 56.84648, -5.04676 56.84653, -5.04673 56.8467)"
1904257,4641814,4641814,2023-08-15,500752387,0,True,2.6105638,0.058055475,444.05218,24.66956555555556,"LINESTRING (-5.04925 56.84325, -5.04904 56.84344)"
1918117,4676440,4676440,2023-09-08,500752387,2,True,2.8931038,0.07886474,444.05218,24.66956555555556,"LINESTRING (-5.04884 56.84363, -5.04876 56.8437, -5.04864 56.84382)"
1918883,4678053,4678053,2023-09-08,500752387,17,True,1.7319763,0.052303374,444.05218,24.66956555555556,"LINESTRING (-5.04673 56.8467, -5.04669 56.84692)"
1918892,4678063,4678063,2023-09-08,500752387,7,True,1.9237443,0.05446913,444.05218,24.66956555555556,"LINESTRING (-5.04786 56.8446, -5.04773 56.84474, -5.04767 56.8448)"
1928760,4701779,4701779,2023-10-01,500752387,14,False,2.2228372,0.06730797,444.05218,24.66956555555556,"LINESTRING (-5.04686 56.84604, -5.04683 56.84618, -5.04681 56.84626)"
1928773,4701792,4701792,2023-10-01,500752387,16,False,2.081661,0.055438016,444.05218,24.66956555555556,"LINESTRING (-5.04677 56.84648, -5.04676 56.84653, -5.04673 56.8467)"
1928777,4701796,4701796,2023-10-01,500752387,7,True,1.9721166,0.055929292,444.05218,24.66956555555556,"LINESTRING (-5.04786 56.8446, -5.04773 56.84474, -5.04767 56.8448)"
1931418,4708488,4708488,2023-10-01,500752387,12,False,2.6175215,0.065676875,444.05218,24.66956555555556,"LINESTRING (-5.04702 56.84561, -5.04695 56.84576, -5.04692 56.84582)"
